chain_id,contract_address,name,fsym,decimals
1,0x0000000000000000000000000000000000000000,Ether,ETH,18
1,0x0d8775f648430679a709e98d2b0cb6250d2887ef,Basic Attention Token,BAT,18
1,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland MANA,MANA,18
1,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,Gala,GALA,8
1,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,18
1,0x2a3bff78b79a009976eea096a51a948a3dc00e34,Wilder World,WILD,18
1,0x3845badade8e6dff049820680d1f14bd3903a5d0,The Sandbox,SAND,18
1,0x4d224452801aced8b2f0aebe155379bb5d594381,ApeCoin,APE,18
1,0x514910771af9ca656af840dff83e8264ecf986ca,Chainlink,LINK,18
1,0x557b933a7c2c45672b610f8954a3deb39a51a8ca,REVV,REVV,18
1,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,ASH,ASH,18
1,0x6b175474e89094c44da98b954eedeac495271d0f,Dai,DAI,18
1,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,Wolf Game Wool,WOOL,18
1,0x8a9c4dfe8b9d8962b31e4e16f8321c44d48e246e,Name Change Token,NCT,18
1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6
1,0xb23d80f5fefcddaa212212f028021b41ded428cf,Echelon Prime,PRIME,18
1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18
1,0xd1d2eb1b1e90b638588728b4130137d262c87cae,Gala,GALA,8
1,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether,USDT,6
1,0xdf801468a808a32656d2ed2d2d80b72a129739f4,Somnium Space CUBEs,CUBE,8
1,0xe3c408bd53c31c085a1746af401a4042954ff740,STEPN GMT,GMT,8
1,0xffbf315f70e458e49229654dea4ce192d26f9b25,Voltage,VOLT,18
